episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
0,1,3.1999,0.6831,0.1881,-7.81,2.50,[-7.809904217720032, 2.5],0.0000,False,True,0.7913,1,17.71,7.883,prepare,0.00
0,2,3.1997,0.6831,0.1833,-7.31,2.50,[-7.310533672571182, 2.5],1.0000,False,True,0.7906,1,17.71,7.952,in_progress,0.00
0,3,3.2093,0.6854,0.6518,-4.69,2.33,[-4.694282412528992, 2.3261386156082153],1.0000,False,True,0.8448,1,17.71,8.016,in_progress,0.00
0,4,3.2317,0.6867,0.8594,-20.64,2.18,[-20.637491941452026, 2.1784571409225464],1.0000,False,True,0.9711,1,17.71,8.077,in_progress,0.00
0,5,3.2696,0.6873,0.8301,-3.95,0.98,[-3.9504320919513702, 0.9825435876846313],1.0000,False,True,1.1850,1,17.71,8.144,in_progress,0.00
0,6,3.3219,0.6863,0.5108,-14.99,2.50,[-14.989668130874634, 2.5],1.0000,False,True,1.4805,2,17.71,8.208,in_progress,0.00
0,7,3.3816,0.6845,-0.0113,-4.41,2.22,[-4.412681758403778, 2.2185981273651123],1.0000,False,True,1.8176,2,17.71,8.279,in_progress,0.00
0,8,3.4575,0.6785,-1.3613,-11.85,2.50,[-11.852737069129944, 2.5],1.0000,False,True,2.2463,3,17.71,8.35,in_progress,0.00
0,9,3.5527,0.6681,-3.2109,-9.45,2.50,[-9.453256130218506, 2.5],1.0000,False,True,2.7835,3,17.71,8.418,in_progress,0.00
0,10,3.6636,0.6515,-5.3956,-30.00,1.23,[-30.0, 1.2317176163196564],1.0000,False,True,3.4097,4,17.71,8.49,in_progress,0.00
0,11,3.7835,0.6200,-9.6554,8.14,2.27,[8.13982218503952, 2.269121766090393],1.0000,False,True,4.0866,5,17.71,8.543,in_progress,0.00
0,12,3.8705,0.5913,-12.6817,12.57,0.67,[12.570065259933472, 0.6737228035926819],0.5000,False,True,4.5780,5,17.71,8.622,in_progress,0.00
0,13,3.9903,0.5493,-15.9344,30.00,2.13,[30.0, 2.133229434490204],0.5000,False,True,5.2547,6,17.71,8.684,in_progress,0.00
0,14,4.0897,0.5205,-16.0161,30.00,1.24,[30.0, 1.2414277493953705],0.5000,False,True,5.8159,7,17.71,8.753,in_progress,0.00
0,15,4.1930,0.5006,-14.0011,15.34,0.83,[15.335657000541687, 0.8345665335655212],0.5000,False,True,6.3992,8,17.71,8.82,in_progress,0.00
0,16,4.2847,0.4942,-10.5142,8.92,0.50,[8.922212719917297, 0.5],0.5000,False,True,6.9168,8,17.71,8.884,in_progress,0.00
0,17,4.3663,0.4914,-7.7883,26.50,0.50,[26.504811644554138, 0.5],0.1000,False,True,7.3776,9,17.71,8.948,in_progress,0.00
