episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
0,1,3.1998,0.6831,0.1858,-4.40,1.74,[-4.400894343852997, 1.7408769726753235],0.0000,False,True,0.7912,1,17.71,7.71,prepare,0.00
0,2,3.1997,0.6831,0.1833,-2.06,1.75,[-2.061133235692978, 1.7476245164871216],1.0000,False,True,0.7906,1,17.71,7.779,in_progress,0.00
0,3,3.2092,0.6848,0.5745,-10.04,1.64,[-10.040332674980164, 1.637166365981102],1.0000,False,True,0.8442,1,17.71,7.846,in_progress,0.00
0,4,3.2341,0.6861,0.8162,-18.12,1.48,[-18.115360736846924, 1.4833658412098885],1.0000,False,True,0.9846,1,17.71,7.91,in_progress,0.00
0,5,3.2737,0.6809,-0.6133,-22.80,1.55,[-22.80283033847809, 1.5531460791826248],1.0000,False,True,1.2083,1,17.71,7.94,in_progress,0.00
0,6,3.3602,0.6606,-4.8921,29.55,1.11,[29.547223448753357, 1.1081120036542416],1.0000,False,True,1.6965,2,17.71,8.048,in_progress,0.00
0,7,3.3962,0.6502,-6.6888,28.42,1.27,[28.415563702583313, 1.2683639591559768],1.0000,False,True,1.9001,2,17.71,8.112,in_progress,0.00
0,8,3.4676,0.6307,-9.1824,19.80,0.94,[19.799838066101074, 0.9359509646892548],1.0000,False,True,2.3031,3,17.71,8.181,in_progress,0.00
0,9,3.5415,0.6127,-10.5843,25.46,1.15,[25.459585189819336, 1.1482361406087875],1.0000,False,True,2.7201,3,17.71,8.25,in_progress,0.00
0,10,3.6199,0.5964,-10.9498,3.09,0.89,[3.0904991179704666, 0.8868860304355621],0.5000,False,True,3.1631,4,17.71,8.313,in_progress,0.00
0,11,3.6813,0.5859,-10.6365,-5.98,1.06,[-5.9817177057266235, 1.0624715015292168],0.5000,False,True,3.5094,4,17.71,8.379,in_progress,0.00
0,12,3.7563,0.5742,-10.1529,-4.49,1.16,[-4.49467197060585, 1.155481904745102],0.5000,False,True,3.9331,5,17.71,8.448,in_progress,0.00
0,13,3.8295,0.5613,-10.1242,19.43,1.31,[19.43032443523407, 1.3130262289196253],0.5000,False,True,4.3463,5,17.71,8.509,in_progress,0.00
0,14,3.8979,0.5498,-9.9790,30.00,1.40,[30.0, 1.3965661488473415],0.5000,False,True,4.7328,6,17.71,8.582,in_progress,0.00
0,15,3.9935,0.5449,-7.4459,28.19,1.55,[28.189660906791687, 1.5451667085289955],0.5000,False,True,5.2722,6,17.71,8.647,in_progress,0.00
