episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
0,1,0.3225,2.6912,-84.0039,20.00,1.50,[20.0, 1.5],0.0000,False,True,0.6061,1,23.12,7.728,prepare,0.00
0,2,0.3225,2.6916,-84.0036,20.00,1.50,[20.0, 1.5],1.0000,False,True,0.6046,1,23.12,7.791,in_progress,0.00
0,3,0.3213,2.6834,-84.5149,12.69,1.50,[12.685123682022095, 1.5],1.0000,False,True,0.6394,1,23.12,7.86,in_progress,0.00
0,4,0.3246,2.6614,-84.2092,20.00,1.50,[20.0, 1.5],1.0000,False,True,0.7354,1,23.12,7.927,in_progress,0.00
0,5,0.3334,2.6221,-83.1438,20.00,1.50,[20.0, 1.5],1.0000,False,True,0.9090,1,23.12,7.996,in_progress,0.00
0,6,0.3464,2.5739,-81.5348,20.00,1.50,[20.0, 1.5],1.0000,False,True,1.1234,2,23.12,8.065,in_progress,0.00
0,7,0.3719,2.5057,-78.1921,-5.98,1.51,[-5.97562849521637, 1.5062131136655807],1.0000,False,True,1.4352,2,23.12,8.115,in_progress,0.00
0,8,0.3919,2.4538,-76.1565,20.00,1.66,[20.0, 1.6599694043397903],1.0000,False,True,1.6719,3,23.12,8.192,in_progress,0.00
0,9,0.4372,2.3558,-71.8621,20.00,1.63,[20.0, 1.628968209028244],1.0000,False,True,2.1348,3,23.12,8.263,in_progress,0.00
0,10,0.4853,2.2725,-67.6056,-9.13,1.50,[-9.126693606376648, 1.5],1.0000,False,True,2.5326,4,23.12,8.329,in_progress,0.00
0,11,0.5427,2.1895,-63.0389,19.78,1.50,[19.782402515411377, 1.5],0.5000,False,True,2.9569,5,23.12,8.399000000000001,in_progress,0.00
0,12,0.6084,2.1019,-59.0832,18.76,1.50,[18.762950897216797, 1.5],0.5000,False,True,3.4330,5,23.12,8.467,in_progress,0.00
