episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
680,1.0,0.3223367069258912,2.6912070916017257,-84.03329271936174,-20.0,1.879856291839916,[-20.0, 1.879856291839916],0.0,False,True,0.6062237768408443,1,23.11822180235112,2727.767,prepare,0.0
680,2.0,0.3224972246991259,2.691372917273783,-84.00607495570647,20.0,2.4814119553831104,[20.0, 2.4814119553831104],0.9998989948272371,False,True,0.6055829085685211,1,23.11822180235112,2727.852,in_progress,0.0
680,3.0,0.32036015072360896,2.682034420637077,-84.78370314437986,20.0,1.5,[20.0, 1.5],0.7238693957890822,False,True,0.6447913009327347,1,23.11822180235112,2727.92,in_progress,0.0
680,4.0,0.316462982754866,2.656802241016526,-86.40039579230186,20.0,1.5,[20.0, 1.5],1.1259436411519834,False,True,0.7499788076786209,1,23.11822180235112,2727.991,in_progress,0.0
680,5.0,0.3175475477508978,2.620907587741842,-86.6930063032734,-10.421053451718631,1.9518641254883884,[-10.421053451718631, 1.9518641254883884],0.5944294078143197,False,True,0.904354344065286,1,23.11822180235112,2728.054,in_progress,0.0
680,6.0,0.31622374452359603,2.5638885997423273,-87.79289569970798,20.0,1.8911144927675085,[20.0, 1.8911144927675085],1.0404673680640126,False,True,1.1477228199539278,2,23.11822180235112,2728.123,in_progress,0.0
680,7.0,0.3168707415759378,2.4954105600873517,-88.27761290040701,20.0,3.0,[20.0, 3.0],0.4969669357379677,False,True,1.4349088934641956,2,23.11822180235112,2728.189,in_progress,0.0
680,8.0,0.32277919626923607,2.4100157061391725,-87.48278100722817,20.0,1.5,[20.0, 1.5],0.9636293927715878,False,True,1.8026438047779154,3,23.11822180235112,2728.259,in_progress,0.0
680,9.0,0.3326799860538181,2.324476559899119,-86.14009761478255,-20.0,1.5,[-20.0, 1.5],0.9407107448890244,False,True,2.165254550367846,3,23.11822180235112,2728.319,in_progress,0.0
680,10.0,0.3472578299173743,2.222391508118857,-84.53416686095542,20.0,1.5,[20.0, 1.5],0.9187125080751884,False,True,2.6097186438493942,4,23.11822180235112,2728.392,in_progress,0.0
680,11.0,0.3614396202710363,2.1176330279736777,-83.66398300723057,-18.060733262471356,1.5,[-18.060733262471356, 1.5],0.8890856999350889,False,True,3.05380839415034,5,23.11822180235112,2728.453,in_progress,0.0
680,12.0,0.38039409783491496,2.0105631284895105,-82.20143529813157,20.0,1.5,[20.0, 1.5],0.8648944088011563,False,True,3.502883649626904,5,23.11822180235112,2728.521,in_progress,0.0
680,13.0,0.3999607153593975,1.9094434005010912,-81.04490058902476,20.0,1.5,[20.0, 1.5],0.8425081408568664,False,True,3.9215507194160932,6,23.11822180235112,2728.577,in_progress,0.0
680,14.0,0.4302270219000188,1.7981773327375317,-78.42183770643838,20.0,1.5,[20.0, 1.5],0.8198636216075049,False,True,4.40708167591317,7,23.11822180235112,2728.651,in_progress,0.0
680,15.0,0.464555574875842,1.703860649372419,-75.32342917994505,20.0,1.5,[20.0, 1.5],0.8066146368651077,False,True,4.795325225149451,7,23.11822180235112,2728.727,in_progress,0.0
680,16.0,0.5072017515331023,1.6051320262710866,-71.89912757116736,2.575704799639901,1.5,[2.575704799639901, 1.5],0.795941800302318,False,True,5.228467035890892,8,23.11822180235112,2728.791,in_progress,0.0
680,17.0,0.5543698474568857,1.5141457831807947,-68.38110727784729,20.0,2.499485038440616,[20.0, 2.499485038440616],0.2831956856347234,False,True,5.646418578837819,9,23.11822180235112,2728.857,in_progress,0.0
680,18.0,0.6099915719344478,1.423895322853137,-64.38159784085622,7.545182026168874,3.0,[7.545182026168874, 3.0],0.27339091445717023,False,True,6.026130916099542,9,23.11822180235112,2728.922,in_progress,0.0
680,19.0,0.6962329803771475,1.3072673246196755,-58.84134742738778,20.0,2.871886214353162,[20.0, 2.871886214353162],0.2598192868944419,False,True,6.534840006011635,10,23.11822180235112,2728.987,in_progress,0.0
680,20.0,0.8088676695805909,1.1887862755033118,-51.68718557158229,20.0,1.5,[20.0, 1.5],0.7390162402893923,False,True,7.187599932693773,11,23.11822180235112,2729.054,in_progress,0.0
680,21.0,0.9081790419713706,1.1087352915560515,-44.96542777404418,20.0,1.5,[20.0, 1.5],0.7180289093264969,False,True,7.632673148526684,12,23.11822180235112,2729.12,in_progress,0.0
680,22.0,1.0247201523454759,1.0298978287576315,-37.92435485614499,20.0,1.5,[20.0, 1.5],0.6934181490083685,False,True,8.053035972362077,12,23.11822180235112,2729.192,in_progress,0.0
680,23.0,1.124103803895454,0.9732431037643267,-33.13965998967921,20.0,2.723644785150989,[20.0, 2.723644785150989],0.17314574655892623,False,True,8.492890776606838,13,23.11822180235112,2729.253,in_progress,0.0
