episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
80,1.0,3.1999353142109053,0.6830704650102988,0.17371213660157736,30.0,0.5,[30.0, 0.5],0.0,False,True,0.7916943518883348,1,17.709159380834848,644.486,prepare,0.0
80,2.0,3.199732793847639,0.6831032114197833,0.18326595495146542,14.341819951587105,0.5,[14.341819951587105, 0.5],4.453250392330069,False,True,0.7905513581379274,1,17.709159380834848,644.531,in_progress,0.0
80,3.0,3.206850386176445,0.6829958314801782,0.0704641031560733,30.0,0.5,[30.0, 0.5],0.001,False,True,0.8307408007954715,1,17.709159380834848,644.624,in_progress,0.0
80,4.0,3.2216890100001057,0.6852645325979914,0.6078881215369409,1.404056080543839,0.5,[1.404056080543839, 0.5],4.499445870362412,False,True,0.9145522394968961,1,17.709159380834848,644.683,in_progress,0.0
80,5.0,3.247067669629203,0.6893423838678616,1.5177261681360517,-30.0,2.194091451950417,[-30.0, 2.194091451950417],0.001,False,True,1.0578954321504308,1,17.709159380834848,644.757,in_progress,0.0
80,6.0,3.2818139759298517,0.6957864729823554,2.8812100010608037,6.98992001918073,1.3128851751661732,[6.98992001918073, 1.3128851751661732],5.29137643928934,False,True,1.2541562083022377,1,17.709159380834848,644.836,in_progress,0.0
80,7.0,3.3307676936557797,0.6994449831329675,3.1083917782355073,30.0,0.5,[30.0, 0.5],0.001,False,True,1.530619148733298,2,17.709159380834848,644.885,in_progress,0.0
80,8.0,3.381376387727323,0.70882151801916,4.645450408160469,6.774022713840495,2.5,[6.774022713840495, 2.5],6.456411257319081,False,True,1.816293286930502,2,17.709159380834848,644.962,in_progress,0.0
80,9.0,3.4383894533064114,0.7196658618295332,6.0225413802124415,30.0,0.5,[30.0, 0.5],0.001,False,True,2.1382499188626265,3,17.709159380834848,645.034,in_progress,0.0
80,10.0,3.4963270388016006,0.7360293499117925,8.430460493483132,20.4131937530058,0.5864894911475509,[20.4131937530058, 0.5864894911475509],0.001,False,True,2.465435026755988,3,17.709159380834848,645.098,in_progress,0.0
80,11.0,3.5394719793605014,0.7526996938601276,10.828382577904295,-30.0,1.4712032732142588,[-30.0, 1.4712032732142588],0.001,False,True,2.709145128752416,3,17.709159380834848,645.163,in_progress,0.0
80,12.0,3.5935956737318873,0.7701105457908132,12.359146052222037,-15.320816905071602,0.5,[-15.320816905071602, 0.5],0.001,False,True,3.0148094289710983,4,17.709159380834848,645.208,in_progress,0.0
80,13.0,3.657793729247087,0.7882691718585189,13.095516980428553,-30.0,0.5671060974260128,[-30.0, 0.5671060974260128],0.001,False,True,3.377363251543677,4,17.709159380834848,645.3,in_progress,0.0
80,14.0,3.7095011805398226,0.7999061871250313,13.066396620949053,5.434730138355988,1.4691125227606627,[5.434730138355988, 1.4691125227606627],5.194134576740709,False,True,3.66935623283505,4,17.709159380834848,645.355,in_progress,0.0
80,15.0,3.764135820946635,0.8127860188260289,13.088748887665623,-8.976456629669194,2.5,[-8.976456629669194, 2.5],6.115535070490599,False,True,3.9778940290431852,5,17.709159380834848,645.422,in_progress,0.0
80,16.0,3.838473017750094,0.8289449077762563,12.825444898652918,-30.0,2.5,[-30.0, 2.5],0.001,False,True,4.39767379956634,5,17.709159380834848,645.479,in_progress,0.0
80,17.0,3.90837974074079,0.838166684287888,11.314843265363802,-30.0,1.6632471657589978,[-30.0, 1.6632471657589978],0.001,False,True,4.792440852478226,6,17.709159380834848,645.563,in_progress,0.0
80,18.0,4.034620272644435,0.8374459402177578,6.013566507202939,30.0,2.5,[30.0, 2.5],0.001,False,True,5.505293503430951,7,17.709159380834848,645.629,in_progress,0.0
80,19.0,4.105926457816281,0.8321250884266949,3.0950686135136807,-30.0,0.5,[-30.0, 0.5],0.001,False,True,5.907934479128799,7,17.709159380834848,645.681,in_progress,0.0
80,20.0,4.213730539185111,0.8167772923859957,-2.0643917895229382,2.285366423373894,0.5,[2.285366423373894, 0.5],4.204758175822543,False,True,6.516656636773536,8,17.709159380834848,645.759,in_progress,0.0
80,21.0,4.2884286819655815,0.7996182113030292,-5.322482836401347,-14.745464059538412,1.0780510290965322,[-14.745464059538412, 1.0780510290965322],4.780976283691829,False,True,6.938431308820611,8,17.709159380834848,645.834,in_progress,0.0
80,22.0,4.369369925497547,0.7763899193139161,-8.729481753808203,-29.0065427578306,2.5,[-29.0065427578306, 2.5],0.001,False,True,7.3954427558634945,9,17.709159380834848,645.887,in_progress,0.0
80,23.0,4.451946030155809,0.7437073229585499,-13.10551562875327,30.0,0.9376072790068626,[30.0, 0.9376072790068626],0.001,False,True,7.8616653835136745,9,17.709159380834848,645.961,in_progress,0.0
80,24.0,4.528271976062751,0.7031881488884404,-18.246004194062113,4.92628597734177,1.403695057596374,[4.92628597734177, 1.403695057596374],5.31809214743295,False,True,8.292580991965275,10,17.709159380834848,645.989,in_progress,0.0
80,25.0,4.605953209752062,0.6586248714168229,-22.19587399034357,30.0,1.1373615481518866,[30.0, 1.1373615481518866],0.001,False,True,8.731139814423605,10,17.709159380834848,646.093,in_progress,0.0
80,26.0,4.678438311379719,0.61959032901079,-24.086757036322652,19.608649371616004,0.6227083903773992,[19.608649371616004, 0.6227083903773992],0.001,False,True,9.140367309789909,11,17.709159380834848,646.149,in_progress,0.0
80,27.0,4.747731993063481,0.5822393629352713,-25.417860164004907,30.0,0.5,[30.0, 0.5],0.001,False,True,9.531567185362052,11,17.709159380834848,646.219,in_progress,0.0
80,28.0,4.807035425647881,0.5591108240550137,-24.327865523680995,16.499354340174285,0.5,[16.499354340174285, 0.5],0.001,False,True,9.866391273192724,12,17.709159380834848,646.293,in_progress,0.0
80,29.0,4.8632087711945635,0.541637548799327,-22.642241406755844,16.239596878131245,1.1280175834125887,[16.239596878131245, 1.1280175834125887],0.001,False,True,10.183549327239252,12,17.709159380834848,646.366,in_progress,0.0
80,30.0,4.923098845908262,0.5261671694499523,-20.657178688189006,17.89434167019992,0.5,[17.89434167019992, 0.5],0.001,False,True,10.521702331844331,12,17.709159380834848,646.428,in_progress,0.0
80,31.0,4.980432587730374,0.5177983356495808,-17.792426830888424,-11.16974965987636,0.5,[-11.16974965987636, 0.5],3.996985461060592,False,True,10.845435841932687,13,17.709159380834848,646.484,in_progress,0.0
80,32.0,5.036537063311235,0.510987302180935,-15.369158879145887,11.910938158151055,1.7335016273998605,[11.910938158151055, 1.7335016273998605],5.126600591422388,False,True,11.162267029556515,13,17.709159380834848,646.553,in_progress,0.0
80,33.0,5.095029415942478,0.5040865789099309,-13.342805091481207,30.0,2.2564572934004814,[30.0, 2.2564572934004814],0.001,False,True,11.49254762851571,14,17.709159380834848,646.63,in_progress,0.0
80,34.0,5.164964474959437,0.5015575977768666,-10.241148984116501,-30.0,1.5859000571371191,[-30.0, 1.5859000571371191],0.001,False,True,11.887503414511395,14,17.709159380834848,646.681,in_progress,0.0
80,35.0,5.247822115539704,0.5064875255035532,-5.884518884181955,30.0,0.5,[30.0, 0.5],0.001,False,True,12.355391944772858,15,17.709159380834848,646.765,in_progress,0.0
80,36.0,5.330037711854634,0.5173585924776908,-1.3880053526132274,-10.316773999954666,2.4543700160516,[-10.316773999954666, 2.4543700160516],5.9437567830386655,False,True,12.81952695304124,15,17.709159380834848,646.826,in_progress,0.0
80,37.0,5.412035079203844,0.5327935702510035,2.4123938097721473,30.0,1.7554363338914616,[30.0, 1.7554363338914616],0.001,False,True,13.28258837700764,16,17.709159380834848,646.897,in_progress,0.0
80,38.0,5.514242470439009,0.5580920459522404,6.827658456867428,30.0,1.7661656376092898,[30.0, 1.7661656376092898],0.001,False,True,13.859073203937196,16,17.709159380834848,646.966,in_progress,0.0
80,39.0,5.610000808005365,0.5929137556353998,11.781062271625839,-29.524511876610937,2.5,[-29.524511876610937, 2.5],0.001,False,True,14.401012020150866,17,17.709159380834848,647.024,in_progress,0.0
80,40.0,5.710104039539128,0.6377458247194148,16.717634319937478,30.0,1.6525484619196564,[30.0, 1.6525484619196564],0.001,False,True,14.96619240154214,18,17.709159380834848,647.099,in_progress,0.0
80,41.0,5.814194203719171,0.6898609510457772,20.90873375933593,-25.897625991412102,0.5,[-25.897625991412102, 0.5],0.001,False,True,15.553734104037273,18,17.709159380834848,647.149,in_progress,0.0
80,42.0,5.9116456372774255,0.7481653515938483,24.935841885661578,-19.765186482298216,0.5,[-19.765186482298216, 0.5],0.001,False,True,16.101128674994065,19,17.709159380834848,647.229,in_progress,0.0
80,43.0,5.9991325312064765,0.8084628566215758,29.096017915572915,-4.826731667235549,2.2543873463904847,[-4.826731667235549, 2.2543873463904847],5.696798588407105,False,True,16.592283337352377,20,17.709159380834848,647.283,in_progress,0.0
